姓名,职务,负责工作,url
路钢,党委书记、党委常委,主持学校党委全面工作。,http://www.hust.edu.cn/2015/1229/c68a122/page.htm
丁汉初,党委常务副书记、党委常委、研究员,负责学校党委日常工作，以及宣传、统战、工会、教代会、稳定等工作；分管学校办公室党务工作（还包括挂靠学校办公室的维护稳定工作办公室、督办室等），宣传部（党委研究室、校史研究室），统战部，校工会。,http://www.hust.edu.cn/2015/1229/c68a124/page.htm
马小洁,党委副书记、党委常委、副校长,负责组织、干部、老干、后勤、总务工作，分管组织部(机关党委)、离退休工作处（老干部工作部）、总务长办公室、基建管理处、房产管理处（住房制度改革办公室）、后勤集团、劳动服务公司。,http://www.hust.edu.cn/2015/1229/c68a127/page.htm
周建波,党委副书记、纪委书记、党委常委,负责纪检监察工作、协助校长负责审计工作，分管纪委办公室、监察处、审计处。,http://www.hust.edu.cn/2015/1229/c68a128/page.htm
马建辉,党委副书记、党委常委,负责人事人才、图书、档案工作，分管人事处、图书馆、档案馆、校医院。,http://www.hust.edu.cn/2015/1229/c68a129/page.htm
丁烈云,校长、党委常委,主持学校行政全面工作，负责审计工作，分管发展改革与政策法规办公室。,http://www.hust.edu.cn/2015/1229/c68a123/page.htm
邵新宇,常务副校长、党委常委,负责学科建设、研究生工作、本科教学、体育工作，分管学科建设办公室、研究生院、学术委员会办公室、教务处、实验室与设备管理处、远程与继续教育学院、附中、附小、幼儿园。,http://www.hust.edu.cn/2015/1229/c68a125/page.htm
骆清铭,副校长、党委常委,负责科研、科协、产业、国家重大科技平台工作，分管科学技术发展院（先进技术与装备研究院）、科技成果转化办公室（科技成果转化服务中心）、产业集团、武汉光电国家实验室（筹）、脉冲强磁场实验装置国家重大科技基础设施、精密重力测量研究设施。,http://www.hust.edu.cn/2015/1229/c68a130/page.htm
许晓东,副校长、许晓东,党委常委,,http://www.hust.edu.cn/2015/1229/c68a132/page.htm
陈建国,副校长、党委常委,负责医学院工作，国际交流、留学生工作；分管同济医学院、国际交流处、国际教育学院。,http://www.hust.edu.cn/2015/1229/c68a133/page.htm
梁茜,副校长、党委常委,负责学生、治安、政保、信息化、校友、教育发展基金会以及学校办公室行政工作；分管学校办公室行政工作（还包括挂靠学校办公室的信息公开工作办公室、信访办公室），保卫部（处），学生工作部（处）（人民武装部），校团委，研究生工作部，网络与信息化办公室，校友工作及对外联络办公室（教育发展基金管理处）。,http://www.hust.edu.cn/2015/1229/c68a134/page.htm
湛毅青,总会计师、党委常委,负责财务、资产监管、人文社科工作，分管财务处（国有资产管理委员会办公室）、经营性资产管理委员会办公室、采购与招标中心、人文社会科学处。,http://www.hust.edu.cn/2015/1229/c68a135/page.htm
王国斌,党委常委
陈安民,党委常委